 Areafunc for input/geometry.stl                                                              
  Distance,   Area
  0.0000000E+00  0.1048406E+03
  0.4529789E+01  0.1113904E+03
  0.9374024E+01  0.8146265E+02
  0.1441259E+02  0.1198680E+03
  0.1928753E+02  0.1479813E+03
  0.2350246E+02  0.3624254E+03
  0.2788667E+02  0.3198193E+03
  0.3218477E+02  0.1917690E+03
  0.3645171E+02  0.1695863E+03
  0.4075524E+02  0.2444697E+03
  0.4513449E+02  0.2253749E+03
  0.4948459E+02  0.2186162E+03
  0.5380604E+02  0.1615671E+03
  0.5803167E+02  0.1604872E+03
  0.6232231E+02  0.1247229E+03
  0.6662870E+02  0.1211135E+03
  0.7093328E+02  0.1194505E+03
  0.7520164E+02  0.1232856E+03
  0.7947143E+02  0.5676524E+02
  0.8376665E+02  0.4634351E+02
  0.8805912E+02  0.7144497E+02
  0.9241344E+02  0.8811417E+02
  0.9675908E+02  0.7769344E+02
  0.1011062E+03  0.8671686E+02
  0.1053491E+03  0.1137732E+03
  0.1096304E+03  0.1566372E+03
  0.1138323E+03  0.2170159E+03
  0.1180404E+03  0.3538967E+03
  0.1222730E+03  0.4298601E+03
  0.1265585E+03  0.4907572E+03
  0.1307935E+03  0.6297381E+03
  0.1350798E+03  0.1301900E+04
  0.1392940E+03  0.1153497E+04
  0.1435900E+03  0.1032254E+04
  0.1478268E+03  0.8225243E+03
  0.1521492E+03  0.5709374E+03
  0.1564708E+03  0.3836965E+03
  0.1608128E+03  0.2480762E+03
  0.1650942E+03  0.1055057E+03
  0.1693483E+03  0.1241365E+03
